StationID.VoterID        Category       Request Time             Polling Station Time     Turnaround Time          
0.0                      S              0                        60                       60                       
0.1                      O              0                        60                       60                       
1.0                      S              0                        60                       60                       
1.1                      O              0                        60                       60                       
2.0                      S              0                        60                       60                       
2.1                      O              0                        60                       60                       
3.0                      S              0                        60                       60                       
3.1                      O              0                        60                       60                       
4.0                      S              0                        0                        0                        
4.1                      O              0                        0                        0                        
5.0                      S              0                        0                        0                        
5.1                      O              0                        0                        0                        
6.0                      S              0                        0                        0                        
6.1                      O              0                        0                        0                        
7.0                      S              0                        0                        0                        
7.1                      O              0                        2                        2                        
8.0                      S              0                        0                        0                        
8.1                      O              0                        2                        2                        
9.0                      S              0                        0                        0                        
9.1                      O              0                        0                        0                        
4.2                      O              0                        2                        2                        
5.2                      S              1                        2                        1                        
4.3                      O              2                        2                        0                        
4.4                      O              3                        4                        1                        
4.5                      O              4                        4                        0                        
4.6                      O              5                        6                        1                        
4.7                      O              6                        6                        0                        
4.8                      S              7                        8                        1                        
4.9                      S              8                        8                        0                        
4.10                     O              9                        10                       1                        
4.11                     O              10                       10                       0                        
4.12                     O              11                       12                       1                        
4.13                     S              12                       12                       0                        
4.14                     O              13                       14                       1                        
4.15                     S              14                       14                       0                        
4.16                     O              15                       16                       1                        
4.17                     S              16                       16                       0                        
4.18                     O              17                       18                       1                        
4.19                     S              18                       18                       0                        
4.20                     S              19                       20                       1                        
4.21                     O              20                       20                       0                        
4.22                     O              21                       22                       1                        
4.23                     O              22                       22                       0                        
4.24                     O              23                       24                       1                        
4.25                     O              24                       24                       0                        
4.26                     O              25                       26                       1                        
4.27                     S              26                       26                       0                        
4.28                     O              27                       28                       1                        
4.29                     O              28                       28                       0                        
4.30                     S              29                       30                       1                        
4.31                     O              30                       30                       0                        
4.32                     S              31                       32                       1                        
4.33                     S              32                       32                       0                        
4.34                     O              33                       34                       1                        
4.35                     O              34                       34                       0                        
4.36                     S              35                       36                       1                        
4.37                     S              36                       36                       0                        
4.38                     S              37                       38                       1                        
4.39                     S              38                       38                       0                        
4.40                     O              39                       40                       1                        
4.41                     S              40                       40                       0                        
4.42                     S              41                       42                       1                        
4.43                     O              42                       42                       0                        
4.44                     S              43                       44                       1                        
4.45                     S              44                       44                       0                        
4.46                     O              45                       46                       1                        
4.47                     S              46                       46                       0                        
4.48                     S              47                       48                       1                        
4.49                     O              48                       48                       0                        
4.50                     S              49                       50                       1                        
4.51                     O              50                       52                       2                        
5.3                      S              51                       51                       0                        
4.52                     O              52                       54                       2                        
5.4                      O              53                       53                       0                        
4.53                     S              54                       55                       1                        
4.54                     O              55                       56                       1                        
4.55                     O              56                       57                       1                        
4.56                     S              57                       58                       1                        
4.57                     S              58                       59                       1                        
4.58                     O              59                       60                       1                        
4.59                     S              61                       60                       0                       
