StationID.VoterID        Category       Request Time             Polling Station Time     Turnaround Time          
0.0                      S              0                        60                       60                       
0.1                      O              0                        60                       60                       
1.0                      S              0                        60                       60                       
1.1                      O              0                        60                       60                       
2.0                      S              0                        60                       60                       
2.1                      O              0                        60                       60                       
3.0                      S              0                        60                       60                       
3.1                      O              0                        60                       60                       
4.0                      S              0                        0                        0                        
4.1                      O              0                        0                        0                        
5.0                      S              0                        0                        0                        
5.1                      O              0                        0                        0                        
6.0                      S              0                        0                        0                        
6.1                      O              0                        2                        2                        
7.0                      S              0                        0                        0                        
7.1                      O              0                        2                        2                        
8.0                      S              0                        0                        0                        
8.1                      O              0                        2                        2                        
9.0                      S              0                        0                        0                        
9.1                      O              0                        0                        0                        
4.2                      S              0                        0                        0                        
4.3                      S              1                        2                        1                        
4.4                      O              2                        2                        0                        
4.5                      O              3                        3                        0                        
4.6                      O              4                        4                        0                        
4.7                      O              5                        5                        0                        
4.8                      S              6                        6                        0                        
4.9                      O              7                        7                        0                        
4.10                     S              8                        8                        0                        
4.11                     O              9                        9                        0                        
4.12                     O              10                       10                       0                        
4.13                     O              11                       11                       0                        
4.14                     S              12                       12                       0                        
4.15                     S              13                       13                       0                        
4.16                     S              14                       14                       0                        
4.17                     S              15                       15                       0                        
4.18                     S              16                       16                       0                        
4.19                     O              17                       17                       0                        
4.20                     S              18                       18                       0                        
4.21                     O              19                       19                       0                        
4.22                     S              20                       20                       0                        
4.23                     O              21                       21                       0                        
4.24                     S              22                       22                       0                        
4.25                     S              23                       23                       0                        
4.26                     S              24                       24                       0                        
4.27                     S              25                       25                       0                        
4.28                     S              26                       26                       0                        
4.29                     S              27                       27                       0                        
4.30                     S              28                       28                       0                        
4.31                     O              29                       29                       0                        
4.32                     S              30                       30                       0                        
4.33                     O              31                       31                       0                        
4.34                     S              32                       32                       0                        
4.35                     S              33                       33                       0                        
4.36                     O              34                       34                       0                        
4.37                     O              35                       35                       0                        
4.38                     S              36                       36                       0                        
4.39                     O              37                       37                       0                        
4.40                     O              38                       38                       0                        
4.41                     O              40                       40                       0                        
4.42                     S              41                       41                       0                        
4.43                     S              42                       42                       0                        
4.44                     O              43                       43                       0                        
4.45                     O              44                       44                       0                        
4.46                     S              45                       45                       0                        
4.47                     O              46                       46                       0                        
4.48                     O              47                       47                       0                        
4.49                     S              48                       48                       0                        
4.50                     O              49                       49                       0                        
4.51                     O              50                       50                       0                        
4.52                     S              51                       51                       0                        
4.53                     O              52                       52                       0                        
4.54                     O              53                       53                       0                        
4.55                     O              54                       54                       0                        
4.56                     O              55                       55                       0                        
4.57                     O              56                       56                       0                        
4.58                     S              57                       57                       0                        
4.59                     O              58                       58                       0                        
4.60                     S              59                       59                       0                        
